account-seq,bureau-code,treasury-code,account_name,account-deleted
0,00,12-275610,"Negative Subsidies, Farm Storage Facility Loans",N
0,00,12-275630,"Farm Storage Facility Loans, Downward Reestimate of Subsidies",N
0,00,12-275730,"Commodity Credit Corporation Export Guarantee Financing, Downward Reestimate of Subsidies",N
0,00,12-277930,"Multifamily Housing Revitalization Fund, Downward Reestimates of Subsidies",N
0,00,12-278630,"Rural Energy for America Program, Downward Reestimates of Subsidies",N
0,00,12-279310,"Commodity Credit Corporation Export Guarantee Financing, Negative Subsidies",N
0,00,12-322000,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,N
0,00,12-388500,Undistributed Intragovernmental Payments and Receivables from Cancelled Accounts,N
0,00,12-500810,National Forests Fund,N
0,00,12-507010,"License Fees and Defaults, Perishable Agricultural Commodities Act Fund",N
0,00,12-507020,"Earnings on Investments, Perishable Agricultural Commodities Act Fund",N
0,00,12-516110,"1990 Food, Agricultural Quarantine Inspection Fees",N
0,00,12-520110,"National Forests Fund, Payments to States",N
0,00,12-520210,"Timber Roads, Purchaser Elections",N
0,00,12-520310,"National Forests Fund, Roads and Trails for States",N
0,00,12-520410,Timber Salvage Sales,N
0,00,12-520520,"Earnings on Investments, Native American Institutions Endowment Fund",N
0,00,12-520610,"Deposits, Brush Disposal",N
0,00,12-520700,"Receipts, Cooperative Range Improvements",N
0,00,12-520810,"Deposits, Acquisitions of Lands for National Forests, Special Acts",N
0,00,12-520910,"30 Percent of Customs Duties, Funds for Strengthening Markets, Income and Supply (section 32)",N
0,00,12-520930,"General Fund Payment, Funds for Strengthening Markets, Income, and Supply (section 32)",N
0,00,12-521300,"National Forests Fund, Payments to Minnesota (Cook, Lake, and St. Louis Counties)",N
0,00,12-521610,"Land Acquisition Proceeds for Exchanges, Acquisition of Lands to Complete Land Exchanges",N
0,00,12-521640,"Facility Realignment and Enhancement Receipts, Acquisition of Lands to Complete Land Exchanges",N
0,00,12-521910,"Rents and Charges for Quarters, Forest Service",N
0,00,12-522100,"Proceeds of Land Sales, ARS",N
0,00,12-526410,Timber Sales Pipeline Restoration Fund,N
0,00,12-526810,"Recreational Fee Demonstration Program, Forest Service",N
0,00,12-527710,Midewin National Tallgrass Prairie Rental Fees,N
0,00,12-535200,"Proceeds of Land Sales, Forest Service",N
0,00,12-536010,"Charges, User Fees, and Natural Resource Utilization, Land between the Lakes, Forest Service",N
0,00,12-536110,Administration of Rights-of-way and Other Land Uses,N
0,00,12-536310,"Miscellaneous Collections, Valles Caldera Fund",N
0,00,12-551610,"Fees, Food Safety Inspection User Fee Account",N
0,00,12-551710,"Fees, Grain Inspection, Packers and Stockyards User Fee Account",N
0,00,12-551810,"Fees, Animal and Plant Health Inspection User Fee Account",N
0,00,12-553110,"3.08 Percent of Customs Duties, Agricultural Disaster Relief Fund",N
0,00,12-553120,"Earnings on Investments, Agricultural Disaster Relief Fund",N
0,00,12-554010,"Funds Retained, Stewardship Contracting Product Sales",N
0,00,12-556310,Contributions to Conservation Programs,N
0,00,12-565810,NRCS Fees for Conservation Planning,N
0,00,12-589610,National Grasslands,N
0,00,12-972210,"Miscellaneous Special Funds, Forest Service",N
0,00,12-801510,"Deposits of Fees, Inspection and Grading of Farm Products, AMS",N
0,00,12-801520,"Interest on Investments in Public Debt Securities, AMS",N
0,00,12-802810,Forest Service Cooperative Fund,N
0,00,12-802830,"General Fund Payment from Wildland Fire Management, Forest Service Cooperative Fund",N
0,00,12-803920,"Earnings on Investments, Land between the Lakes Trust Fund",N
0,00,12-804610,"Transfers from General Fund of Amounts Equal to Certain Customs Duties, Reforestation Trust Fund",N
0,00,12-810010,"Payments from General Fund, Wool Research, Development, and Promotion Trust Fund",N
0,00,12-813710,"Deposits of Fees, Inspection and Grading of Farm Products, Food Safety and Quality Service",N
0,00,12-816110,"Excise Taxes for Tobacco Assessments, Tobacco Trust Fund",N
0,00,12-820310,"Gifts and Bequests, Departmental Administration",N
0,00,12-821410,"Deposits of Miscellaneous Contributed Funds, Science and Education Administration",N
0,00,12-822610,"Deposits of Miscellaneous Contributed Funds, APHIS",N
0,00,12-823210,"Deposits of Miscellaneous Contributed Funds, Foreign Agricultural Service.",N
0,00,12-977210,Miscellaneous Contributed Funds,N
0,03,12-9913,Office of the Secretary,N
0,03,12-8203,Gifts and Bequests,N
0,04,12-9914,Executive Operations,N
0,04,12-0113,Common Computing Environment,N
0,04,12-4609,Working Capital Fund,N
0,09,12-0123,Office of the Chief Economist,N
0,11,12-0706,National Appeals Division,N
0,07,12-3800,Office of Civil Rights,N
0,05,12-9915,Departmental Administration,N
0,05,12-0500,Hazardous Materials Management,N
0,05,12-0117,Agriculture Buildings and Facilities and Rental Payments,N
0,06,12-0150,Office of Communications,N
0,08,12-0900,Office of Inspector General,N
0,10,12-2300,Office of the General Counsel,N
0,13,12-1701,Economic Research Service,N
0,15,12-1801,National Agricultural Statistics Service,N
0,18,12-1400,Salaries and Expenses,N
0,18,12-1401,Buildings and Facilities,N
0,18,12-8214,Miscellaneous Contributed Funds,N
0,20,12-1502,Integrated Activities,N
0,20,12-1003,Biomass Research and Development,N
0,20,12-1500,Research and Education Activities,N
0,20,12-1501,Buildings and Facilities,N
0,20,12-0502,Extension Activities,N
0,32,12-1600,Salaries and Expenses,N
0,32,12-1601,Buildings and Facilities,N
0,32,12-9971,Miscellaneous Trust Funds,N
0,35,12-3700,Salaries and Expenses,N
0,35,12-8137,"Expenses and Refunds, Inspection and Grading of Farm Products",N
0,37,12-2400,Salaries and Expenses,N
0,37,12-4050,Limitation on Inspection and Weighing Services Expenses,N
0,45,12-2500,Marketing Services,N
0,45,12-2501,Payments to States and Possessions,N
0,45,12-5070,Perishable Agricultural Commodities Act Fund,N
0,45,12-5209,"Funds for Strengthening Markets, Income, and Supply (section 32)",N
0,45,12-8015,"Expenses and Refunds, Inspection and Grading of Farm Products",N
0,45,12-8412,Milk Market Orders Assessment Fund,N
0,47,12-2707,Administrative and Operating Expenses,N
0,47,,Corporations,N
0,47,12-5529,Federal Crop Insurance User Fee Account,N
0,47,12-4085,Federal Crop Insurance Corporation Fund,N
0,49,12-0600,Salaries and Expenses,N
0,49,12-0170,State Mediation Grants,N
0,49,12-1144,Discrimination Claims Settlement,N
0,49,12-2701,USDA Supplemental Assistance,N
0,49,12-3317,"Aquaculture Assistance, Recovery Act",N
0,49,12-3305,Reforestation Pilot Program,N
0,49,12-3316,Emergency Conservation Program,N
0,49,12-0171,Emergency Forest Restoration Program,N
0,49,12-3304,Grassroots Source Water Protection Program,N
0,49,12-1140,Agricultural Credit Insurance Fund Program Account,N
0,49,12-4212,Agricultural Credit Insurance Fund Direct Loan Financing Account,N
0,49,12-4213,Agricultural Credit Insurance Fund Guaranteed Loan Financing Account,N
0,49,12-4140,Agricultural Credit Insurance Fund Liquidating Account,N
0,49,12-4336,Commodity Credit Corporation Fund,N
0,49,12-1336,Commodity Credit Corporation Export Loans Program Account,N
0,49,12-4337,Commodity Credit Corporation Export Guarantee Financing Account,N
0,49,12-4338,Commodity Credit Corporation Guaranteed Loans Liquidating Account,N
0,49,12-3301,Farm Storage Facility Loans Program Account,N
0,49,12-4158,Farm Storage Facility Direct Loan Financing Account,N
0,49,12-3303,Emergency Boll Weevil Loan Program Account,N
0,49,,Apple Loans Program Account,N
0,49,12-4221,Emergency Boll Weevil Direct Loan Financing Account,N
0,49,12-5531,Agricultural Disaster Relief Fund,N
0,49,12-1143,Repayable Advances to Agricultural Disaster Relief Fund,N
0,49,12-8161,Tobacco Trust Fund,N
0,53,12-1000,Conservation Operations,N
0,53,12-1004,Farm Security and Rural Investment Programs,N
0,53,12-1072,Watershed and Flood Prevention Operations,N
0,53,12-1002,Watershed Rehabilitation Program,N
0,53,12-1010,Resource Conservation and Development,N
0,53,12-1090,Healthy Forests Reserve Program,N
0,53,12-2268,Great Plains Conservation Program,N
0,53,12-3336,Forestry Incentives Program,N
0,53,12-3320,Water Bank Program,N
0,53,12-3318,Colorado River Basin Salinity Control Program,N
0,53,12-1080,Wetlands Reserve Program,N
0,53,12-3322,Wildlife Habitat Incentives Program,N
0,53,12-8210,Miscellaneous Contributed Funds,N
0,55,12-0403,Salaries and Expenses,N
0,55,12-0400,Rural Community Advancement Program,N
0,63,12-1953,Rural Housing Assistance Grants,N
0,63,12-1954,Farm Labor Program Account,N
0,63,12-0137,Rental Assistance Program,N
0,63,12-2002,Multifamily Housing Revitalization Program Account,N
0,63,12-4269,Multifamily Housing Revitalization Direct Loan Financing Account,N
0,63,12-2006,Mutual and Self-help Housing Grants,N
0,63,12-1951,Rural Community Facilities Program Account,N
0,63,12-4225,Rural Community Facility Direct Loans Financing Account,N
0,63,12-4228,Rural Community Facility Guaranteed Loans Financing Account,N
0,63,12-2081,Rural Housing Insurance Fund Program Account,N
0,63,12-4215,Rural Housing Insurance Fund Direct Loan Financing Account,N
0,63,12-4216,Rural Housing Insurance Fund Guaranteed Loan Financing Account,N
0,63,12-4141,Rural Housing Insurance Fund Liquidating Account,N
0,65,12-2073,Energy Assistance Payments,N
0,65,12-0402,Rural Empowerment Zones and Enterprise Communities Grants,N
0,65,12-1900,Rural Cooperative Development Grants,N
0,65,12-3105,Rural Economic Development Grants,N
0,65,12-1955,Rural Microenterprise Investment Program Account,N
0,65,12-4354,Rural Microenterprise Investment Direct Loan Financing Account,N
0,65,12-1902,Rural Business Program Account,N
0,65,12-4223,Rural Business and Industry Direct Loans Financing Account,N
0,65,12-4227,Rural Business and Industry Guaranteed Loans Financing Account,N
0,65,12-2069,Rural Development Loan Fund Program Account,N
0,65,12-4219,Rural Development Loan Fund Direct Loan Financing Account,N
0,65,12-4233,Rural Development Loan Fund Liquidating Account,N
0,65,12-3108,Rural Economic Development Loans Program Account,N
0,65,12-4176,Rural Economic Development Direct Loan Financing Account,N
0,65,12-1907,Rural Business Investment Program Account,N
0,65,12-4033,Rural Business Investment Program Guarantee Financing Account,N
0,65,12-1908,Rural Energy for America Program,N
0,65,12-4267,Rural Energy for America Guaranteed Loan Financing Account,N
0,65,12-3106,Biorefinery Assistance Program Account,N
0,65,12-4355,Biorefinery Assistance Guaranteed Loan Financing Account,N
0,65,12-4144,Alternative Agricultural Research and Commercialization Corporation Revolving Fund,N
0,65,12-4202,National sheep industry improvement center revolving fund,N
0,60,12-2042,High Energy Cost Grants,N
0,60,12-1980,Rural Water and Waste Disposal Program Account,N
0,60,12-4226,Rural Water and Waste Disposal Direct Loans Financing Account,N
0,60,12-4218,Rural Water and Waste Water Disposal Guaranteed Loans Financing Account,N
0,60,12-1230,Rural Electrification and Telecommunications Loans Program Account,N
0,60,12-4208,Rural Electrification and Telecommunications Direct Loan Financing Account,N
0,60,12-4209,Rural Electrification and Telecommunications Guaranteed Loans Financing Account,N
0,60,12-4230,Rural Electrification and Telecommunications Liquidating Account,N
0,60,12-1231,Rural Telephone Bank Program Account,N
0,60,12-4210,Rural Telephone Bank Direct Loan Financing Account,N
0,60,12-1232,"Distance Learning, Telemedicine, and Broadband Program",N
0,60,12-4146,"Distance Learning, Telemedicine, and Broadband Direct Loan Financing Account",N
0,60,12-4155,Rural Development Insurance Fund Liquidating Account,N
0,60,12-4142,Rural Communication Development Fund Liquidating Account,N
0,68,12-2900,Salaries and Expenses,N
0,68,12-1406,Trade Adjustment Assistance for Farmers,N
0,68,,FOREIGN ASSISTANCE PROGRAMS,N
0,68,12-2903,McGovern-Dole International Food for Education and Child Nutrition Program,N
0,68,12-2271,Public Law 480 Title I Ocean Freight Differential Grants,N
0,68,12-2278,Food for Peace Title II Grants,N
0,68,12-2277,Public Law 480 Title I Direct Credit and Food for Progress Program Account,N
0,68,12-4049,P.L. 480 Direct Credit Financing Account,N
0,68,12-4143,Debt Reduction—Financing Account,N
0,68,12-2274,"Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",N
0,84,12-3508,Nutrition Programs Administration,N
0,84,12-3505,Supplemental Nutrition Assistance Program,N
0,84,12-3537,Oil Spill Disaster SNAP,N
0,84,12-3539,Child Nutrition Programs,N
0,84,12-3510,"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",N
0,84,12-3507,Commodity Assistance Program,N
0,96,12-1106,National Forest System,N
0,96,12-1103,Capital Improvement and Maintenance,N
0,96,12-1104,Forest and Rangeland Research,N
0,96,12-1105,State and Private Forestry,N
0,96,12-1119,Management of National Forest Lands for Subsistence Uses,N
0,96,12-1115,Wildland Fire Management,N
0,96,12-1130,Forest Service Payments to Communities,N
0,96,12-1120,FLAME Wildfire Suppression Reserve Fund,N
0,96,12-5207,Range Betterment Fund,N
0,96,12-5540,Stewardship Contracting Product Sales,N
0,96,12-9923,Land Acquisition,N
0,96,12-9921,Forest Service Permanent Appropriations,N
0,96,12-4605,Working Capital Fund,N
0,96,12-9974,Forest Service Trust Funds,N
0,96,,ADMINISTRATIVE PROVISIONS—FOREST SERVICE,N
0,SP,,GENERAL FUND RECEIPT ACCOUNTS,N
0,SP,,TITLE VII—GENERAL PROVISIONS,N
0,00,13-143500,"General Fund Proprietary Interest Receipts, not Otherwise Classified",N
0,00,13-225200,"Fees for Maps and Charts, Public, NOAA",N
0,00,13-271710,"Fisheries Finance, Negative Subsidies",N
0,00,13-271730,"Fisheries Finance, Downward Reestimates of Subsidies",N
0,00,13-275910,"Emergency Steel Guaranteed Loans, Negative Subsidies",N
0,00,13-275930,Emergency Steel Guaranteed Loans Downward Reestimates of Subsidies,N
0,00,13-276930,"Emergency Oil and Gas Guaranteed Loans, Downward Reestimates of Subsidies",N
0,00,13-322000,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,N
0,00,13-388500,Undistributed Intragovernmental Payments and Receivables from Cancelled Accounts,N
0,00,13-512010,"Fees, Fishermen's Contingency Fund",N
0,00,13-528310,"Gifts, Marine Mammal Unusual Mortality Event Fund",N
0,00,13-528410,"Permit Title Registration Fees, Limited Access System Administration Fund",N
0,00,13-536220,"Interest Earned, Environmental Improvement and Restoration Fund",N
0,00,13-539610,Digital Television Transition and Public Safety Fund,N
0,00,13-543910,"Access Fees, Western Pacific Sustainable Fisheries Fund",N
0,00,13-555010,Fisheries Conservation and Management Fund,N
0,00,13-558310,"Fisheries Enforcement Asset Forfeiture Fund, Deposits (PDF Account)",N
0,00,13-558410,"Sanctuaries Enforcement Asset Forfeiture Fund, Deposits (PDF Account)",N
0,00,13-823310,"Spectrum Auction Receipts, Public Safety Trust Fund",N
0,00,13-850110,Gifts and Bequests,N
0,05,13-0120,Salaries and Expenses,N
0,05,13-0126,Office of the Inspector General,N
0,05,13-0127,National Intellectual Property Law Enforcement Coordination Council,N
0,05,13-0123,HCHB Renovation and Modernization,N
0,05,13-4511,Working Capital Fund,N
0,05,13-4564,Franchise Fund,N
0,05,13-0122,"Emergency Steel, Oil, and Gas Guaranteed Loan Program Account",N
0,05,13-8501,Gifts and Bequests,N
0,06,13-0125,Salaries and Expenses,N
0,06,13-2050,Economic Development Assistance Programs,N
0,06,13-4356,Economic Development Assistance Programs Financing Account,N
0,06,13-4406,Economic Development Revolving Fund Liquidating Account,N
0,07,13-0401,Salaries and Expenses,N
0,07,13-0450,Periodic Censuses and Programs,N
0,07,13-4512,Census Working Capital Fund,N
0,08,13-1500,Salaries and Expenses,N
0,08,13-4323,Economics and Statistics Administration Revolving Fund,N
0,25,13-1250,Operations and Administration,N
0,25,13-5521,Grants to Manufacturers of Worsted Wool Fabrics,N
0,25,13-8344,Foreign Service National Separation Liability Trust Fund,N
0,30,13-0300,Operations and Administration,N
0,40,13-0201,Minority Business Development,N
0,48,13-1450,"Operations, Research, and Facilities",N
0,48,13-1460,"Procurement, Acquisition and Construction",N
0,48,13-5284,Limited Access System Administration Fund,N
0,48,13-1451,Pacific Coastal Salmon Recovery,N
0,48,13-5550,Fisheries Conservation and Management Fund,N
0,48,13-5584,Sanctuaries Enforcement Asset Forfeiture Fund,N
0,48,13-1462,Coastal Impact Assistance,N
0,48,13-1465,"Medicare-eligible Retiree Health Fund Contribution, NOAA",N
0,48,13-5583,Fisheries Enforcement Asset Forfeiture Fund,N
0,48,13-5139,Promote and Develop Fishery Products and Research Pertaining to American Fisheries,N
0,48,13-5120,Fishermen's Contingency Fund,N
0,48,13-5362,Environmental Improvement and Restoration Fund,N
0,48,13-4313,Coastal Zone Management Fund,N
0,48,13-4316,Damage Assessment and Restoration Revolving Fund,N
0,48,13-1456,Fisheries Finance Program Account,N
0,48,13-4324,Fisheries Finance Direct Loan Financing Account,N
0,48,13-4314,Fisheries Finance Guaranteed Loan Financing Account,N
0,48,13-4417,Federal Ship Financing Fund Fishing Vessels Liquidating Account,N
0,48,13-8220,North Pacific Marine Research Institute Fund,N
0,51,13-1006,Salaries and Expenses,N
0,54,13-4295,NTIS Revolving Fund,N
0,55,13-0500,Scientific and Technical Research and Services,N
0,55,13-0525,Industrial Technology Services,N
0,55,13-0515,Construction of Research Facilities,N
0,55,13-4650,Working Capital Fund,N
0,55,13-0513,Wireless Innovation (WIN) Fund,N
0,55,13-0530,National Network for Manufacturing Innovation,N
0,60,13-0550,Salaries and Expenses,N
0,60,13-0551,"Public Telecommunications Facilities, Planning and Construction",N
0,60,13-0552,Information Infrastructure Grants,N
0,60,13-0554,"Broadband Technology Opportunities Program, Recovery Act",N
0,60,13-5396,Digital Television Transition and Public Safety Fund,N
0,60,13-0516,State and Local Implementation Fund,N
