schedule_seq,account_seq,bureau_code,treasury-id,schedule-code,schedule-treasury-id,schedule-name,col3_head,col4_head,col5_head
23,0,15,01-0105,VLEG01010105,01-0105-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
24,0,15,01-0105,VLEG09010105,01-0105-0-1-801,Object Classification,2011 actual,2012 est.,2013 est.
25,0,15,01-0105,VLEG10010105,01-0105-0-1-801,Employment Summary,2011 actual,2012 est.,2013 est.
26,0,15,01-0108,VLEG01010108,01-0108-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
27,0,15,01-0108,VLEG09010108,01-0108-0-1-801,Object Classification,2011 actual,2012 est.,2013 est.
28,0,15,01-0108,VLEG10010108,01-0108-0-1-801,Employment Summary,2011 actual,2012 est.,2013 est.
29,0,15,01-0123,VLEG01010123,01-0123-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
30,0,15,01-0123,VLEG09010123,01-0123-0-1-801,Object Classification,2011 actual,2012 est.,2013 est.
31,0,15,01-0123,VLEG10010123,01-0123-0-1-801,Employment Summary,2011 actual,2012 est.,2013 est.
32,0,15,01-0127,VLEG01010127,01-0127-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
33,0,15,01-0127,VLEG09010127,01-0127-0-1-801,Object Classification,2011 actual,2012 est.,2013 est.
34,0,15,01-0127,VLEG10010127,01-0127-0-1-801,Employment Summary,2011 actual,2012 est.,2013 est.
35,0,15,01-1833,VLEG01011833,01-1833-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
36,0,15,01-1833,VLEG09011833,01-1833-0-1-801,Object Classification,2011 actual,2012 est.,2013 est.
37,0,15,01-0133,VLEG01010133,01-0133-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
38,0,15,01-0133,VLEG09010133,01-0133-0-1-801,Object Classification,2011 actual,2012 est.,2013 est.
39,0,15,01-0133,VLEG10010133,01-0133-0-1-801,Employment Summary,2011 actual,2012 est.,2013 est.
40,0,15,01-0155,VLEG01010155,01-0155-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
41,0,15,01-0155,VLEG09010155,01-0155-0-1-801,Object Classification,2011 actual,2012 est.,2013 est.
42,0,15,01-0155,VLEG10010155,01-0155-0-1-801,Employment Summary,2011 actual,2012 est.,2013 est.
43,0,15,01-0171,VLEG01010171,01-0171-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
44,0,15,01-0171,VLEG09010171,01-0171-0-1-801,Object Classification,2011 actual,2012 est.,2013 est.
45,0,15,01-0171,VLEG10010171,01-0171-0-1-801,Employment Summary,2011 actual,2012 est.,2013 est.
46,0,15,01-0161,VLEG01010161,01-0161-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
47,0,15,01-0161,VLEG09010161,01-0161-0-1-801,Object Classification,2011 actual,2012 est.,2013 est.
48,0,15,01-0161,VLEG10010161,01-0161-0-1-801,Employment Summary,2011 actual,2012 est.,2013 est.
49,0,15,01-4296,VLEG01014296,01-4296-0-3-801,Program and Financing,2011 actual,2012 est.,2013 est.
50,0,15,01-4296,VLEG09014296,01-4296-0-3-801,Object Classification,2011 actual,2012 est.,2013 est.
51,0,15,01-4518,VLEG01014518,01-4518-0-4-801,Program and Financing,2011 actual,2012 est.,2013 est.
52,0,15,01-4518,VLEG09014518,01-4518-0-4-801,Object Classification,2011 actual,2012 est.,2013 est.
53,0,15,01-8189,VLEG00018189,01-8189-0-7-801,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
54,0,18,09-0200,VLEG01090200,09-0200-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
55,0,18,09-0200,VLEG09090200,09-0200-0-1-801,Object Classification,2011 actual,2012 est.,2013 est.
56,0,18,09-0200,VLEG10090200,09-0200-0-1-801,Employment Summary,2011 actual,2012 est.,2013 est.
57,0,25,03-0101,VLEG01030101,03-0101-0-1-503,Program and Financing,2011 actual,2012 est.,2013 est.
58,0,25,03-0101,VLEG09030101,03-0101-0-1-503,Object Classification,2011 actual,2012 est.,2013 est.
59,0,25,03-0101,VLEG10030101,03-0101-0-1-503,Employment Summary,2011 actual,2012 est.,2013 est.
60,0,25,03-0102,VLEG01030102,03-0102-0-1-376,Program and Financing,2011 actual,2012 est.,2013 est.
61,0,25,03-0102,VLEG09030102,03-0102-0-1-376,Object Classification,2011 actual,2012 est.,2013 est.
62,0,25,03-0102,VLEG10030102,03-0102-0-1-376,Employment Summary,2011 actual,2012 est.,2013 est.
63,0,25,03-0127,VLEG01030127,03-0127-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
64,0,25,03-0127,VLEG09030127,03-0127-0-1-801,Object Classification,2011 actual,2012 est.,2013 est.
65,0,25,03-0127,VLEG10030127,03-0127-0-1-801,Employment Summary,2011 actual,2012 est.,2013 est.
66,0,25,03-0141,VLEG01030141,03-0141-0-1-503,Program and Financing,2011 actual,2012 est.,2013 est.
67,0,25,03-0141,VLEG09030141,03-0141-0-1-503,Object Classification,2011 actual,2012 est.,2013 est.
68,0,25,03-0141,VLEG10030141,03-0141-0-1-503,Employment Summary,2011 actual,2012 est.,2013 est.
69,0,25,03-5175,VLEG00035175,03-5175-0-2-376,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
70,0,25,03-5175,VLEG01035175,03-5175-0-2-376,Program and Financing,2011 actual,2012 est.,2013 est.
71,0,25,03-4325,VLEG01034325,03-4325-0-3-503,Program and Financing,2011 actual,2012 est.,2013 est.
72,0,25,03-4325,VLEG09034325,03-4325-0-3-503,Object Classification,2011 actual,2012 est.,2013 est.
73,0,25,03-4325,VLEG10034325,03-4325-0-3-503,Employment Summary,2011 actual,2012 est.,2013 est.
74,0,25,03-4339,VLEG10034339,03-4339-0-3-503,Employment Summary,2011 actual,2012 est.,2013 est.
75,0,25,03-4346,VLEG01034346,03-4346-0-3-503,Program and Financing,2011 actual,2012 est.,2013 est.
76,0,25,03-4346,VLEG09034346,03-4346-0-3-503,Object Classification,2011 actual,2012 est.,2013 est.
77,0,25,03-4346,VLEG10034346,03-4346-0-3-503,Employment Summary,2011 actual,2012 est.,2013 est.
78,0,25,03-4543,VLEG01034543,03-4543-0-4-503,Program and Financing,2011 actual,2012 est.,2013 est.
79,0,25,03-4543,VLEG09034543,03-4543-0-4-503,Object Classification,2011 actual,2012 est.,2013 est.
80,0,25,03-4543,VLEG10034543,03-4543-0-4-503,Employment Summary,2011 actual,2012 est.,2013 est.
81,0,25,03-9971,VLEG00039971,03-9971-0-7-503,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
82,0,25,03-9971,VLEG01039971,03-9971-0-7-503,Program and Financing,2011 actual,2012 est.,2013 est.
83,0,25,03-9971,VLEG09039971,03-9971-0-7-503,Object Classification,2011 actual,2012 est.,2013 est.
84,0,25,03-9971,VLEG10039971,03-9971-0-7-503,Employment Summary,2011 actual,2012 est.,2013 est.
85,0,30,04-0203,VLEG01040203,04-0203-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
86,0,30,04-0201,VLEG01040201,04-0201-0-1-808,Program and Financing,2011 actual,2012 est.,2013 est.
87,0,30,04-0201,VLEG09040201,04-0201-0-1-808,Object Classification,2011 actual,2012 est.,2013 est.
88,0,30,04-0201,VLEG10040201,04-0201-0-1-808,Employment Summary,2011 actual,2012 est.,2013 est.
89,0,30,04-4505,VLEG01044505,04-4505-0-4-808,Program and Financing,2011 actual,2012 est.,2013 est.
90,0,30,04-4505,VLEG09044505,04-4505-0-4-808,Object Classification,2011 actual,2012 est.,2013 est.
91,0,30,04-4505,VLEG10044505,04-4505-0-4-808,Employment Summary,2011 actual,2012 est.,2013 est.
92,0,35,05-0107,VLEG01050107,05-0107-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
93,0,35,05-0107,VLEG09050107,05-0107-0-1-801,Object Classification,2011 actual,2012 est.,2013 est.
94,0,35,05-0107,VLEG10050107,05-0107-0-1-801,Employment Summary,2011 actual,2012 est.,2013 est.
95,0,40,23-0100,VLEG01230100,23-0100-0-1-752,Program and Financing,2011 actual,2012 est.,2013 est.
96,0,40,23-0100,VLEG09230100,23-0100-0-1-752,Object Classification,2011 actual,2012 est.,2013 est.
97,0,40,23-0100,VLEG10230100,23-0100-0-1-752,Employment Summary,2011 actual,2012 est.,2013 est.
98,0,40,23-8115,VLEG00238115,23-8115-0-7-602,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
99,0,40,23-8115,VLEG01238115,23-8115-0-7-602,Program and Financing,2011 actual,2012 est.,2013 est.
100,0,45,48-1550,VLEG01481550,48-1550-0-1-571,Program and Financing,2011 actual,2012 est.,2013 est.
101,0,45,48-1550,VLEG09481550,48-1550-0-1-571,Object Classification,2011 actual,2012 est.,2013 est.
102,0,45,48-1550,VLEG10481550,48-1550-0-1-571,Employment Summary,2011 actual,2012 est.,2013 est.
103,0,45,09-1801,VLEG01091801,09-1801-0-1-551,Program and Financing,2011 actual,2012 est.,2013 est.
104,0,45,09-1801,VLEG09091801,09-1801-0-1-551,Object Classification,2011 actual,2012 est.,2013 est.
105,0,45,09-1801,VLEG10091801,09-1801-0-1-551,Employment Summary,2011 actual,2012 est.,2013 est.
106,0,45,48-2973,VLEG01482973,48-2973-0-1-808,Program and Financing,2011 actual,2012 est.,2013 est.
107,0,45,48-2973,VLEG09482973,48-2973-0-1-808,Object Classification,2011 actual,2012 est.,2013 est.
108,0,45,48-2973,VLEG10482973,48-2973-0-1-808,Employment Summary,2011 actual,2012 est.,2013 est.
109,0,45,48-2975,VLEG01482975,48-2975-0-1-801,Program and Financing,2011 actual,2012 est.,2013 est.
110,0,45,48-2975,VLEG09482975,48-2975-0-1-801,Object Classification,2011 actual,2012 est.,2013 est.
111,0,45,48-2975,VLEG10482975,48-2975-0-1-801,Employment Summary,2011 actual,2012 est.,2013 est.
112,0,45,09-9911,VLEG01099911,09-9911-0-1-999,Program and Financing,2011 actual,2012 est.,2013 est.
113,0,45,09-9911,VLEG09099911,09-9911-0-1-999,Object Classification,2011 actual,2012 est.,2013 est.
114,0,45,09-9911,VLEG10099911,09-9911-0-1-999,Employment Summary,2011 actual,2012 est.,2013 est.
115,0,45,48-2990,VLEG01482990,48-2990-0-1-808,Program and Financing,2011 actual,2012 est.,2013 est.
116,0,45,09-0145,VLEG01090145,09-0145-0-1-154,Program and Financing,2011 actual,2012 est.,2013 est.
117,0,45,09-8275,VLEG00098275,09-8275-0-7-801,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
118,0,45,09-8275,VLEG01098275,09-8275-0-7-801,Program and Financing,2011 actual,2012 est.,2013 est.
119,0,45,09-8275,VLEG10098275,09-8275-0-7-801,Employment Summary,2011 actual,2012 est.,2013 est.
120,0,45,09-8300,VLEG00098300,09-8300-0-7-801,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
121,0,45,09-8300,VLEG01098300,09-8300-0-7-801,Program and Financing,2011 actual,2012 est.,2013 est.
122,0,45,09-8148,VLEG00098148,09-8148-0-7-154,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
123,0,45,09-8148,VLEG01098148,09-8148-0-7-154,Program and Financing,2011 actual,2012 est.,2013 est.
124,0,45,09-8148,VLEG09098148,09-8148-0-7-154,Object Classification,2011 actual,2012 est.,2013 est.
125,0,45,09-8148,VLEG10098148,09-8148-0-7-154,Employment Summary,2011 actual,2012 est.,2013 est.
126,0,SP,,VLEG12010000,,,2011 actual,2012 est.,2013 est.
127,0,05,10-0100,VJUD01100100,10-0100-0-1-752,Program and Financing,2011 actual,2012 est.,2013 est.
128,0,05,10-0100,VJUD09100100,10-0100-0-1-752,Object Classification,2011 actual,2012 est.,2013 est.
129,0,05,10-0100,VJUD10100100,10-0100-0-1-752,Employment Summary,2011 actual,2012 est.,2013 est.
130,0,05,10-0103,VJUD01100103,10-0103-0-1-752,Program and Financing,2011 actual,2012 est.,2013 est.
131,0,05,10-0103,VJUD09100103,10-0103-0-1-752,Object Classification,2011 actual,2012 est.,2013 est.
132,0,05,10-0103,VJUD10100103,10-0103-0-1-752,Employment Summary,2011 actual,2012 est.,2013 est.
133,0,07,10-0510,VJUD01100510,10-0510-0-1-752,Program and Financing,2011 actual,2012 est.,2013 est.
134,0,07,10-0510,VJUD09100510,10-0510-0-1-752,Object Classification,2011 actual,2012 est.,2013 est.
135,0,07,10-0510,VJUD10100510,10-0510-0-1-752,Employment Summary,2011 actual,2012 est.,2013 est.
136,0,15,10-0400,VJUD01100400,10-0400-0-1-752,Program and Financing,2011 actual,2012 est.,2013 est.
137,0,15,10-0400,VJUD09100400,10-0400-0-1-752,Object Classification,2011 actual,2012 est.,2013 est.
138,0,15,10-0400,VJUD10100400,10-0400-0-1-752,Employment Summary,2011 actual,2012 est.,2013 est.
139,0,25,10-0920,VJUD01100920,10-0920-0-1-752,Program and Financing,2011 actual,2012 est.,2013 est.
140,0,25,10-0920,VJUD09100920,10-0920-0-1-752,Object Classification,2011 actual,2012 est.,2013 est.
141,0,25,10-0920,VJUD10100920,10-0920-0-1-752,Employment Summary,2011 actual,2012 est.,2013 est.
142,0,25,10-0923,VJUD01100923,10-0923-0-1-752,Program and Financing,2011 actual,2012 est.,2013 est.
143,0,25,10-0923,VJUD09100923,10-0923-0-1-752,Object Classification,2011 actual,2012 est.,2013 est.
144,0,25,10-0923,VJUD10100923,10-0923-0-1-752,Employment Summary,2011 actual,2012 est.,2013 est.
145,0,25,10-0925,VJUD01100925,10-0925-0-1-752,Program and Financing,2011 actual,2012 est.,2013 est.
146,0,25,10-0925,VJUD09100925,10-0925-0-1-752,Object Classification,2011 actual,2012 est.,2013 est.
147,0,25,10-0930,VJUD01100930,10-0930-0-1-752,Program and Financing,2011 actual,2012 est.,2013 est.
148,0,25,10-0930,VJUD09100930,10-0930-0-1-752,Object Classification,2011 actual,2012 est.,2013 est.
149,0,25,10-0930,VJUD10100930,10-0930-0-1-752,Employment Summary,2011 actual,2012 est.,2013 est.
150,0,25,10-5100,VJUD00105100,10-5100-0-2-752,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
151,0,25,10-5100,VJUD01105100,10-5100-0-2-752,Program and Financing,2011 actual,2012 est.,2013 est.
152,0,25,10-5101,VJUD00105101,10-5101-0-2-752,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
153,0,25,10-5101,VJUD01105101,10-5101-0-2-752,Program and Financing,2011 actual,2012 est.,2013 est.
154,0,25,10-5114,VJUD00105114,10-5114-0-2-752,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
155,0,25,10-5114,VJUD01105114,10-5114-0-2-752,Program and Financing,2011 actual,2012 est.,2013 est.
156,0,25,10-5114,VJUD09105114,10-5114-0-2-752,Object Classification,2011 actual,2012 est.,2013 est.
157,0,25,10-5114,VJUD10105114,10-5114-0-2-752,Employment Summary,2011 actual,2012 est.,2013 est.
158,0,26,10-0927,VJUD01100927,10-0927-0-1-752,Program and Financing,2011 actual,2012 est.,2013 est.
159,0,26,10-0927,VJUD09100927,10-0927-0-1-752,Object Classification,2011 actual,2012 est.,2013 est.
160,0,26,10-0927,VJUD10100927,10-0927-0-1-752,Employment Summary,2011 actual,2012 est.,2013 est.
161,0,30,10-0928,VJUD01100928,10-0928-0-1-752,Program and Financing,2011 actual,2012 est.,2013 est.
162,0,30,10-0928,VJUD09100928,10-0928-0-1-752,Object Classification,2011 actual,2012 est.,2013 est.
163,0,30,10-0928,VJUD10100928,10-0928-0-1-752,Employment Summary,2011 actual,2012 est.,2013 est.
164,0,35,10-0941,VJUD01100941,10-0941-0-1-752,Program and Financing,2011 actual,2012 est.,2013 est.
165,0,35,10-8122,VJUD00108122,10-8122-0-7-602,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
166,0,35,10-8122,VJUD01108122,10-8122-0-7-602,Program and Financing,2011 actual,2012 est.,2013 est.
167,0,35,10-8110,VJUD00108110,10-8110-0-7-602,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
168,0,35,10-8110,VJUD01108110,10-8110-0-7-602,Program and Financing,2011 actual,2012 est.,2013 est.
169,0,35,10-8124,VJUD00108124,10-8124-0-7-602,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
170,0,35,10-8124,VJUD01108124,10-8124-0-7-602,Program and Financing,2011 actual,2012 est.,2013 est.
171,0,39,10-0938,VJUD01100938,10-0938-0-1-752,Program and Financing,2011 actual,2012 est.,2013 est.
172,0,39,10-0938,VJUD09100938,10-0938-0-1-752,Object Classification,2011 actual,2012 est.,2013 est.
173,0,39,10-0938,VJUD10100938,10-0938-0-1-752,Employment Summary,2011 actual,2012 est.,2013 est.
174,0,SP,,VJUD12100000,,,2011 actual,2012 est.,2013 est.
175,0,03,12-9913,VAGR01129913,12-9913-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
176,0,03,12-9913,VAGR09129913,12-9913-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
177,0,03,12-9913,VAGR10129913,12-9913-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
178,0,03,12-8203,VAGR00128203,12-8203-0-7-352,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
179,0,03,12-8203,VAGR01128203,12-8203-0-7-352,Program and Financing,2011 actual,2012 est.,2013 est.
180,0,04,12-0113,VAGR01120113,12-0113-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
181,0,04,12-4609,VAGR01124609,12-4609-0-4-352,Program and Financing,2011 actual,2012 est.,2013 est.
182,0,04,12-4609,VAGR09124609,12-4609-0-4-352,Object Classification,2011 actual,2012 est.,2013 est.
183,0,04,12-4609,VAGR10124609,12-4609-0-4-352,Employment Summary,2011 actual,2012 est.,2013 est.
184,0,09,12-0123,VAGR01120123,12-0123-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
185,0,09,12-0123,VAGR09120123,12-0123-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
186,0,09,12-0123,VAGR10120123,12-0123-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
187,0,11,12-0706,VAGR01120706,12-0706-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
188,0,11,12-0706,VAGR09120706,12-0706-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
189,0,11,12-0706,VAGR10120706,12-0706-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
190,0,07,12-3800,VAGR01123800,12-3800-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
191,0,07,12-3800,VAGR02123800,,Summary of Budget Authority and Outlays,2011 actual,2012 est.,2013 est.
192,0,07,12-3800,VAGR09123800,12-3800-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
193,0,07,12-3800,VAGR10123800,12-3800-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
194,0,07,12-3800,VAGR01123800,12-3800-2-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
195,0,05,12-9915,VAGR01129915,12-9915-0-1-350,Program and Financing,2011 actual,2012 est.,2013 est.
196,0,05,12-9915,VAGR02129915,,Summary of Budget Authority and Outlays,2011 actual,2012 est.,2013 est.
197,0,05,12-9915,VAGR09129915,12-9915-0-1-350,Object Classification,2011 actual,2012 est.,2013 est.
198,0,05,12-9915,VAGR10129915,12-9915-0-1-350,Employment Summary,2011 actual,2012 est.,2013 est.
199,0,05,12-9915,VAGR01129915,12-9915-4-1-350,Program and Financing,2011 actual,2012 est.,2013 est.
200,0,05,12-0500,VAGR01120500,12-0500-0-1-304,Program and Financing,2011 actual,2012 est.,2013 est.
201,0,05,12-0500,VAGR09120500,12-0500-0-1-304,Object Classification,2011 actual,2012 est.,2013 est.
202,0,05,12-0500,VAGR10120500,12-0500-0-1-304,Employment Summary,2011 actual,2012 est.,2013 est.
203,0,05,12-0117,VAGR01120117,12-0117-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
204,0,05,12-0117,VAGR09120117,12-0117-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
205,0,05,12-0117,VAGR10120117,12-0117-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
206,0,06,12-0150,VAGR01120150,12-0150-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
207,0,06,12-0150,VAGR09120150,12-0150-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
208,0,06,12-0150,VAGR10120150,12-0150-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
209,0,08,12-0900,VAGR01120900,12-0900-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
210,0,08,12-0900,VAGR09120900,12-0900-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
211,0,08,12-0900,VAGR10120900,12-0900-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
212,0,10,12-2300,VAGR01122300,12-2300-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
213,0,10,12-2300,VAGR09122300,12-2300-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
214,0,10,12-2300,VAGR10122300,12-2300-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
215,0,13,12-1701,VAGR01121701,12-1701-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
216,0,13,12-1701,VAGR09121701,12-1701-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
217,0,13,12-1701,VAGR10121701,12-1701-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
218,0,15,12-1801,VAGR01121801,12-1801-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
219,0,15,12-1801,VAGR09121801,12-1801-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
220,0,15,12-1801,VAGR10121801,12-1801-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
221,0,18,12-1400,VAGR01121400,12-1400-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
222,0,18,12-1400,VAGR09121400,12-1400-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
223,0,18,12-1400,VAGR10121400,12-1400-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
224,0,18,12-1401,VAGR01121401,12-1401-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
225,0,18,12-1401,VAGR09121401,12-1401-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
226,0,18,12-8214,VAGR00128214,12-8214-0-7-352,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
227,0,18,12-8214,VAGR01128214,12-8214-0-7-352,Program and Financing,2011 actual,2012 est.,2013 est.
228,0,18,12-8214,VAGR09128214,12-8214-0-7-352,Object Classification,2011 actual,2012 est.,2013 est.
229,0,18,12-8214,VAGR10128214,12-8214-0-7-352,Employment Summary,2011 actual,2012 est.,2013 est.
230,0,20,12-1502,VAGR01121502,12-1502-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
231,0,20,12-1502,VAGR09121502,12-1502-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
232,0,20,12-1502,VAGR10121502,12-1502-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
233,0,20,12-1003,VAGR01121003,12-1003-0-1-271,Program and Financing,2011 actual,2012 est.,2013 est.
234,0,20,12-1500,VAGR00121500,12-1500-0-1-352,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
235,0,20,12-1500,VAGR01121500,12-1500-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
236,0,20,12-1500,VAGR09121500,12-1500-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
237,0,20,12-1500,VAGR10121500,12-1500-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
238,0,20,12-1501,VAGR01121501,12-1501-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
239,0,20,12-0502,VAGR01120502,12-0502-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
240,0,20,12-0502,VAGR09120502,12-0502-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
241,0,20,12-0502,VAGR10120502,12-0502-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
242,0,32,12-1600,VAGR00121600,12-1600-0-1-352,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
243,0,32,12-1600,VAGR01121600,12-1600-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
244,0,32,12-1600,VAGR09121600,12-1600-0-1-352,Object Classification,2011 actual,2012 est.,2013 est.
245,0,32,12-1600,VAGR10121600,12-1600-0-1-352,Employment Summary,2011 actual,2012 est.,2013 est.
246,0,32,12-1601,VAGR01121601,12-1601-0-1-352,Program and Financing,2011 actual,2012 est.,2013 est.
247,0,32,12-9971,VAGR00129971,12-9971-0-7-352,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
248,0,32,12-9971,VAGR01129971,12-9971-0-7-352,Program and Financing,2011 actual,2012 est.,2013 est.
249,0,32,12-9971,VAGR09129971,12-9971-0-7-352,Object Classification,2011 actual,2012 est.,2013 est.
250,0,32,12-9971,VAGR10129971,12-9971-0-7-352,Employment Summary,2011 actual,2012 est.,2013 est.
251,0,35,12-3700,VAGR00123700,12-3700-0-1-554,Special and Trust Fund Receipts,2011 actual,2012 est.,2013 est.
252,0,35,12-3700,VAGR01123700,12-3700-0-1-554,Program and Financing,2011 actual,2012 est.,2013 est.
